epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,2.32846,1.04744,2.67249,2.55089,0.01402,0.52526,0.7905,0.67251,0.8755,0.63804,0.75365,0.65748,0.84492,0.5611,1.64926,2.68884,1.22259,0.0115,0,0,0,0
2,4.94864,0.91857,2.64147,2.49124,0.01105,0.54894,0.87512,0.62566,0.87606,0.64539,0.74935,0.6554,0.84451,0.55868,1.63984,2.68438,1.227,0.01133,0,1.17822e-06,1.17822e-06,1.17822e-06
3,7.4664,0.97635,2.41323,2.41088,0.01454,0.43737,0.883,0.62767,0.87739,0.65424,0.76193,0.65685,0.84442,0.55877,1.63351,2.68931,1.23314,0.01122,0,2.33288e-06,2.33288e-06,2.33288e-06
4,9.9536,1.27201,2.87102,2.8462,0.02316,0.58229,0.8791,0.62925,0.87896,0.6547,0.76335,0.6548,0.84498,0.55926,1.6331,2.68494,1.23967,0.0111,0,3.46397e-06,3.46397e-06,3.46397e-06
5,12.4645,1.11115,2.96065,3.20637,0.01506,0.67227,0.86932,0.63207,0.79665,0.58011,0.77298,0.65168,0.76171,0.50085,1.6295,2.68303,1.24264,0.01097,0,4.5715e-06,4.5715e-06,4.5715e-06
6,14.9118,0.95186,2.52774,2.16176,0.01126,0.51443,0.81886,0.6672,0.79734,0.58046,0.77765,0.65238,0.76194,0.50107,1.62804,2.68244,1.24829,0.01091,0,5.65548e-06,5.65548e-06,5.65548e-06
7,17.4148,1.18943,2.23922,2.60353,0.01139,0.41838,0.81825,0.64906,0.79823,0.59729,0.7758,0.63239,0.7645,0.50078,1.62124,2.67595,1.25732,0.01084,0,6.71588e-06,6.71588e-06,6.71588e-06
8,19.8635,1.09397,2.27714,2.50101,0.01006,0.41394,0.78507,0.66903,0.79826,0.59242,0.75252,0.65237,0.76492,0.50077,1.61809,2.66993,1.27166,0.01074,0,7.75273e-06,7.75273e-06,7.75273e-06
9,22.3666,1.17082,2.6901,3.31291,0.01547,0.67201,0.84256,0.64588,0.79883,0.59389,0.78754,0.63835,0.76435,0.49735,1.62554,2.66411,1.25926,0.01079,0,8.76602e-06,8.76602e-06,8.76602e-06
10,24.782,1.06412,2.93348,2.81131,0.01022,0.45424,0.90966,0.62428,0.77161,0.57505,0.83902,0.60762,0.73728,0.47829,1.62072,2.66166,1.25764,0.01071,0,9.75574e-06,9.75574e-06,9.75574e-06
